Matrix size,Matrix type,Procedure Type,Frobenius Norm,Infinity Norm,One Norm
512,ill-conditioned,Classic,49.1859418281942524,827.4533481511431319,373.2885416168268193
16,well-conditioned,Modified,7.1413650772927753,16.2212224500590807,7.6569142542296191
2048,well-conditioned,Modified,1540.1974807072206204,69638.5040228504949482,2149.0881190602663082
4,sparse,Classic,0.0000000000000000,0.0000000000000000,0.0000000000000000
512,well-conditioned,Modified,386.1334056566548725,8706.2732536079511192,537.2708987139551482
16,sparse,Classic,6.6958721477636116,9.8763274691259220,7.4910724099786252
4,well-conditioned,Classic,0.0000000000000000,0.0000000000000000,0.0000000000000000
32,dense,Modified,25.7729297641625017,137.5323514498983286,32.1771072554513680
128,ill-conditioned,Modified,98.8861437668252847,1102.7325581882635106,128.1276580662582205
128,well-conditioned,Classic,nan,nan,6.5334309840201445
256,ill-conditioned,Classic,34.6582074630393393,410.5863753138191896,186.5478742379189612
256,sparse,Classic,35.4470056492155834,418.5445376903839474,190.6950040751815720
16,sparse,Modified,7.3690987288630190,13.4389088127130059,12.0338430155896461
32,ill-conditioned,Modified,25.6260514128081596,137.1217096982364296,31.8522601393562859
16,ill-conditioned,Classic,6.5326685379525467,12.3530437686857812,6.8934695060638314
16,dense,Classic,6.7257407650580747,13.7874775236627620,7.1039683351342822
16,dense,Modified,13.3459101392937018,47.5929665095126637,15.4989812889229395
32,well-conditioned,Classic,nan,nan,0.0000000000000000
256,sparse,Modified,48.6130513346859487,652.2976052611353452,255.3013549303427396
4,dense,Classic,0.0000000000000000,0.0000000000000000,0.0000000000000000
256,well-conditioned,Classic,nan,nan,0.0000000000000000
64,ill-conditioned,Modified,51.8541815646996227,403.6497116775438485,64.1367885907758364
32,dense,Classic,10.4526791639187469,37.1271180424827989,18.9051723925526360
1024,well-conditioned,Classic,nan,nan,0.9921259842519687
4,sparse,Modified,0.0000000000000000,0.0000000000000000,0.0000000000000000
64,well-conditioned,Classic,nan,nan,6.0001046289594315
16,ill-conditioned,Modified,13.2739116704396150,47.5738373157754282,15.3090022833723349
32,ill-conditioned,Classic,10.4714153778294534,36.4857185903597312,18.8761118748591343
32,well-conditioned,Modified,18.6618991402271419,94.7201849621321941,30.5941584794361567
128,sparse,Modified,33.1949343338872538,301.2661171332425170,127.8637837643184128
4,ill-conditioned,Classic,0.0000000000000000,0.0000000000000000,0.0000000000000000
128,dense,Modified,97.8735984520023550,1090.9566842504725628,128.3495602683141499
256,well-conditioned,Modified,193.9368999977859858,3081.1963524616994619,268.6352834428018355
2048,sparse,Modified,191.7499853604101929,8136.5488272122556737,2010.3195641618333411
512,sparse,Modified,71.9828877876820741,1431.9626541692871342,507.8662193907333062
64,dense,Modified,50.9631466395029662,396.4399052563067585,64.2193744461466167
4,well-conditioned,Modified,0.0000000000000000,0.0000000000000000,0.0000000000000000
128,dense,Classic,24.6056438819069321,205.1721516858591485,93.7800880709265243
4,ill-conditioned,Modified,0.0000000000000000,0.0000000000000000,0.0000000000000000
1024,dense,Classic,69.6365619686632300,1660.7447208009828046,747.2998410658606190
1024,sparse,Classic,69.8340592349798328,1662.6911446282135785,749.1229889305129745
2048,ill-conditioned,Modified,1553.8112555065652032,70253.2183400797075592,2038.2908887407736529
1024,well-conditioned,Modified,770.7251867344880338,24619.2362169183616061,1074.5427351276371155
64,well-conditioned,Modified,49.9234455270948700,388.6436184772723550,67.1587707500884363
512,ill-conditioned,Modified,389.8645383209118904,8789.4883597522821219,510.4222228347500163
512,well-conditioned,Classic,nan,nan,1.9682733386746381
64,sparse,Modified,25.5400728182303638,149.7845651359185126,67.9360233413266883
512,dense,Modified,385.9948276570181065,8701.3808299394368078,510.3789431128654996
256,dense,Modified,194.0893408535309845,3082.4363846436795029,255.5576468944519206
16,well-conditioned,Classic,7.0778229777045976,10.0999421151958444,5.7090550556530868
1024,dense,Modified,771.2029805336175059,24632.7617000155260030,1020.4567772591459516
1024,sparse,Modified,114.1857361140833405,3320.3339111607720042,1009.4117115265905795
64,ill-conditioned,Classic,17.1945195510246265,99.9743808982781275,46.4376362764980755
128,ill-conditioned,Classic,24.2449314819275230,200.7029259159101287,92.6086551824656539
1024,ill-conditioned,Modified,778.5922131139030853,24869.7172431349499675,1020.5368475781405095
32,sparse,Modified,12.1071833492143277,46.5884148750330525,31.0279678100496312
512,dense,Classic,49.1982324990245772,828.5560168312013047,373.8837561929329354
64,sparse,Classic,17.7742373095119532,101.3423214479197441,47.3913073156201889
64,dense,Classic,17.3227610317260279,101.6672617438992461,47.7537199174548022
128,well-conditioned,Modified,97.9038942255786537,1092.3176402439521553,134.3175830242028042
512,sparse,Classic,49.5198999312635166,832.6374612420609083,376.0459559303859010
4,dense,Modified,0.0000000000000000,0.0000000000000000,0.0000000000000000
256,ill-conditioned,Modified,195.9208213785568660,3112.1618163449497843,255.6850095894374135
256,dense,Classic,34.8121801440261009,413.8881469366051533,188.0640037910419267
2048,dense,Modified,1538.7044627781640429,69568.3929773423296865,2038.1182835480099129
128,sparse,Classic,25.0007231681401478,204.2798730060140429,95.4405615935216360
32,sparse,Classic,11.0812695966973305,36.2965843036441314,20.7793873085541101
