Matrix size,Matrix type,Procedure Type,Frobenius Norm,Infinity Norm,One Norm
2048,ill-conditioned,Modified,1556.5055592034909751,70373.9502952715265565,2047.7149712104655919
256,sparse,Classic,44.6196759514362142,583.2485974870797918,213.2679142593387098
64,dense,Classic,14.7548233710308168,73.6276275982993837,36.1167794879949611
64,well-conditioned,Modified,35.0219485388331222,264.2428211778953369,61.1883985532055377
4,dense,Classic,0.0000000000000000,0.0000000000000000,0.0000000000000000
32,ill-conditioned,Modified,26.6333996450456709,143.0342276343538686,31.2055798518158660
16,sparse,Classic,5.6568542494923806,0.0000000000000026,0.0000000000000024
1024,sparse,Modified,137.3716097838527617,4080.0763850434027518,1027.5234713426536928
32,well-conditioned,Modified,11.3796266595403832,41.5649378551753514,15.3139610682734819
4,ill-conditioned,Classic,0.0000000000000000,0.0000000000000000,0.0000000000000000
256,well-conditioned,Modified,225.7611404411018441,3593.7420105664064067,269.0056899478876176
64,dense,Modified,50.7446398965504528,394.8658783727605055,63.7654661806789917
256,ill-conditioned,Modified,196.9983879968004032,3129.4247524528836948,256.4266225053081030
64,ill-conditioned,Modified,51.2545882115967473,398.8629594247344698,63.9529001304629503
4,well-conditioned,Classic,0.0000000000000000,0.0000000000000000,0.0000000000000000
128,well-conditioned,Modified,97.8967148252347954,1092.2205400539326092,134.3176489932247364
16,sparse,Modified,6.1148562039927770,5.5501171844158819,5.2624609251193863
2048,sparse,Modified,218.5407528358428806,9375.6385376621256000,2052.7324583187719327
4,dense,Modified,0.0000000000000000,0.0000000000000000,0.0000000000000000
256,sparse,Modified,62.1143290329119182,870.9128007093570432,261.6396512072917631
512,ill-conditioned,Modified,390.7975427512554347,8810.3137952794313605,512.8532731298690805
2048,well-conditioned,Modified,1793.6402567402956265,81118.6064636908849934,2152.0465917475635251
16,well-conditioned,Classic,5.6568542494923806,0.0000000000000071,0.0000000000000007
1024,ill-conditioned,Modified,780.2882438329211254,24923.8408184028085088,1024.5796076597421234
16,ill-conditioned,Classic,5.6568542494923806,0.0000000000000124,0.0000000000000059
512,well-conditioned,Classic,nan,nan,0.0000000000000000
128,ill-conditioned,Classic,24.7647437357754612,206.0066799111449143,93.4631980248693566
1024,dense,Classic,86.4544270489759583,2292.8041627068828348,843.9134742872673769
1024,sparse,Classic,87.0400451288665238,2300.9896454050385728,845.1395265622384159
256,ill-conditioned,Classic,42.4995497991839528,560.2576589081946850,211.2689402563589454
32,dense,Classic,9.4883480893545187,28.1650026033453464,13.9943982063848651
64,ill-conditioned,Classic,14.6468617132255989,72.4827658850025642,37.1144916195630827
4,well-conditioned,Modified,0.0000000000000000,0.0000000000000000,0.0000000000000000
4,ill-conditioned,Modified,0.0000000000000000,0.0000000000000000,0.0000000000000000
128,well-conditioned,Classic,nan,nan,0.0000000000000000
128,dense,Classic,24.3676715041290208,202.7442784469317871,93.8948005203537832
16,well-conditioned,Modified,5.9001642028306396,3.8718215354307257,0.9998400224002395
256,dense,Modified,195.6718577172674145,3108.1223011198699169,256.4389891947284923
512,sparse,Modified,88.8964316943000767,1834.7550495891414357,514.8973630919332436
512,ill-conditioned,Classic,60.7699369067005009,1135.7820960959566037,421.3627150169252786
16,ill-conditioned,Modified,13.0028378570898671,46.2417115562115839,15.2645295043162417
64,sparse,Modified,17.8530855047692256,104.0265604312898944,60.7486619235560070
32,dense,Modified,26.0327083124575687,139.8572207046267124,30.7141512254195739
512,dense,Modified,386.9225590119113463,8722.5135471005105501,512.8883449934447754
1024,well-conditioned,Classic,nan,nan,0.0000000000000000
32,sparse,Modified,nan,nan,5.3160861346923376
128,ill-conditioned,Modified,99.2407058864835392,1107.0663012898476154,127.9101478586915590
512,well-conditioned,Modified,449.6981549833692497,10149.3920722824277618,538.0114408756242028
128,sparse,Modified,32.8333771604265507,295.7530736361017603,129.3079380555133184
2048,dense,Modified,1541.5728662674143834,69696.9348435650608735,2047.9279348579345879
512,sparse,Classic,61.6480073585283250,1150.0680230796551768,423.5979523374837186
4,sparse,Modified,0.0000000000000000,0.0000000000000000,0.0000000000000000
32,sparse,Classic,nan,nan,0.0000000000000000
512,dense,Classic,60.8426250893998599,1139.5828925709322448,422.1917848650578549
64,sparse,Classic,14.6402719654733744,70.9621309992937057,40.0895820222880204
16,dense,Classic,5.6568542494923806,0.0000000000000064,0.0000000000000025
1024,well-conditioned,Modified,897.6433961299296698,28687.6299589498594287,1076.0230537131687925
128,sparse,Classic,24.8367608587901607,198.1962365730378224,94.8818031420924797
256,dense,Classic,42.7047584394968425,561.1486941768268935,209.2242882090976650
32,ill-conditioned,Classic,9.3074280783210401,26.1573512427379420,11.2410377721573767
64,well-conditioned,Classic,nan,nan,0.0000000000000000
1024,dense,Modified,772.9299081005905236,24687.7530847755515424,1024.2879953564029165
128,dense,Modified,98.1738435677521153,1094.8390223176752443,127.8087356821674234
4,sparse,Classic,0.0000000000000000,0.0000000000000000,0.0000000000000000
256,well-conditioned,Classic,nan,nan,0.0000000000000000
32,well-conditioned,Classic,11.8247799647729384,22.2574506347936669,12.6855858159339441
16,dense,Modified,13.1098305752475266,46.8564116462483682,14.7152348876861332
